Text,Classification
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
i feel really angry sometimes because for the love of god havent we been through enough,anger
i feel like i was a rude ass hole at hookah,anger
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy
im getting is that since i feel that i accepted the mark of the beast when they shot me up and i thought they where going to kill me and i screamed so loud that i didnt want to die,joy
i am going to assume a moral obligation to find a way to make sure i feel pretty damn rich every day,joy
i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible,sadness
i mean how would you feel if euan got hauled in for murder but you knew he was innocent,joy
im feeling quite mellow now in spite of having raging pms the past few days which means im likely to erupt with little or no warning,joy
i male are stupid first for woman cry babies and should get over it and you feel really cool for putting the stupid men in their place,joy
i have been praying everyday about it and i just feel more and more convinced that this is what god has called me to so we will see,joy
i for one sit and stare at a blank computer screen for a while scratch my head a few times drink a couple pots of coffee and then feel triumphant once i write my first sentence and that first sentence usually consists of a poop joke,joy
i really love eating fresh figs because they feel so delicate and look so much prettier than the ugly dried figs,love
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger
i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness
i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,anger
i attempted to call my mom to talk to her but she answered the phone with suck fake regard for my feelings she had her jolly voice on and i just told her nevermind and she said okay i have a couple guests walking through the door so i have to go and feed them some pie,joy
i woke up monday feeling like crap and blamed it on the weather,sadness
i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy,sadness
i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,love
i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,fear
i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them,sadness
i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy
im glad i have a god with whom i can feel safe,joy
i feel peaceful and unafraid certain that my god has my best interests at heart,joy
i feel so stupid to think they will trust me,sadness
i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,sadness
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger
i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,anger
i prayed to trust god with my desire to feel a divine sense of home,joy
i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage,sadness
i feel like hopeless helpless worthless scum,sadness
i feel so blessed to have both lisa and god as friends in this life,joy
i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing,fear
i feel scared and stupid,fear
i feel like our relationship revovles around sex and when we do he wants it to be really adventurous trying new things using toys etc ansi just find it exhausting trying to keep up,joy
i feel like telling these horny devils to find a site more suited to that sort of interest the playboy if there is one forum perhaps,love
im waiting in my paper gown and plastic slippers for them to call me feeling very apprehensive but a bit dopey in the head due to lack of food,fear
id feel like a heartless bitch if i didnt share these with anybody,anger
i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,anger
i feel the divine envelope me when i watch literally hundreds of faithful at mass in line for eucharist hundreds of people who include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind,joy
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
i now feel like i look really ugly some people think i look retarted,sadness
i feel highly burdened and incapacitated by my stupid flaring legs,sadness
i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,fear
i am thinking about everyones future and not my own i feel so alone useless and am wondering what the hell am i doing wrong that i only feel like a roommate and nothing else,sadness
i feel so regretful for things i cannot remember because i was so drunk,sadness
i am feeling a little grumpy but that could be pms too,anger
i feel like a useless bastard,sadness
i feel shitty as mess,sadness
i feel optimistic that he ll settle in before too long once we ve arrived,joy
i regret it because i feel shitty that i cant enjoy things if im alone i ended up seeing my brother afterwards who was in baltimore with his new girlfriend and wanted to see me as well as introduce me to her,sadness
im kind of feeling nervous and anxious about all the shit i have to do today,fear
i screwed my brows together when i realized this reaction and pondered what could possibly make me feel so fond of a stranger,love
i am trying to work on finding the joy in the simple thing that god is finding joy in my obedience to him even if it doesn t feel very joyful in the way that i am used to,joy
i feel romantic feelings in my soul and begging to god make u me ur love me ur feeling me ur soul me i wanna to hear the beat of heart by u for me ever if u wanna so otherwise i am nothing without u,love
i feel so damn complacent,joy
i guess these expectations of me being so goddamn perfect have made me feel afraid to change,fear
i feel with aconfident heart i can be the overcomet that god wants me to be so i am eager to learn,joy
im feeling bitchy as hell tonight,anger
i feel like its at times like these when things seem a little more uncertain that i thank god more for the small things,fear
i feel like fake eyeglasses will make me look older and hell a little more authoritative too,sadness
im drunk for example i feel a lot less shy about speaking in a foreign language that i havent yet totally mastered,fear
i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,joy
i feel i would be ungrateful to god and undutiful to the church if i did not use my poor efforts on the side of truth and peace,sadness
i can t hate too much because i feel like she s looking pretty damn flawless in these pics,joy
i began to feel a cranky feeling of why the hell do i do what i do,anger
i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,joy
i help busy overworked mainly but not exclusively women go from feeling overwhelmed frustrated and generally pissed about their health and appearance,surprise
i made the stupid mistake of saying i was fine the next day the last time my headmaster punished me and it only served to make him feel he had not punished me hard enough,sadness
i guarantee that if im dizzy or feeling like im going to vomit for months i am not going to be a very pleasant person,joy
im feeling so goddamn pissed and just,anger
im sitting there with both boobs hanging out so why do i feel uncomfortable,fear
i feel like getting away from all the friendly tasty goodness that seems to abound in santa cruz including the unseen ambient pot smoke that always makes me so lazy i swear when i visit the laid back town a visit to the university s university of california santa cruz renowned a href http www,joy
i feel absolutely shitty,sadness
i used to wake up feeling horny sometimes and have to finish myself off before i got up,love
i feel so pissed and i feel like sleeping s,anger
i feel like more people should be brave enough to speak up against the non standards of the self publishing market because all the authors i know work so damn hard and they deserve better,joy
i got up this morning with a heavy burden in my heart feeling a bit discouraged and questioning god about certain things that still are not clear to me,sadness
im so damn tired and i feel a little grouchy,anger
i cant help feeling ugly,sadness
i was in sams angsty headspace jensens voice singing bon jovi was making me feel horny as hell,love
i have a feeling this month is going to have some damn cool things in store,joy
i was feeling and could answer all my stupid questions,sadness
i suck a lot at keeping the house clean and yet feel twitchy when its messy,sadness
i feel like i should mention that i wasnt fond of the damn shapeshifter in the first place,love
i really feel that im the least talented person on the stage but somehow god uses my talent for his glory,joy
i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you,anger
i am all about empowering women i truly feel that they are the more intelligent sex but what is enough,joy
i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,anger
im feeling a bit scared to consider putting myself out there by posting my work on a website frequented by professional artists but i decided to suck it up be a big girl and ask for feedback,fear
i consider it a social and political duty to defend porn but as the world unravels around this company of sex industry workers i feel doomed is this the inevitable fate of porn personnel,sadness
i feel like i ve gone a bit dull and they all agree that s the beauty of real friends they tell you when you re being stupid,sadness
i feel can be really popular in the underground if they get themselves out there and thank god for this i m looking at you toby and tunji,joy
i quit i will screw over everyone in the frame shop which i wouldnt feel bad about besides british,sadness
i hope that this does not deeply affend anyone but if it does than maybe you know who i feel now after years of being a faithful catholic to be told you are going to hell anyways because of what you do in the privacy of your own home,joy
i often feel real gloomy theres always another large government program on the horizon our freedoms are consistently contracted our wallets are pilfered for the benefit of fat cat corporate bankers and the public continues to vote in the politicians who steal from us every day,sadness
i feel an inner conflict between my sense of duty and my desire to play i hadn t entertained thoughts of sex,joy
i was feeling heartbroken this time it had nothing to do with a stupid boy who wasnt worth it,sadness
i know gay analogy but i am feeling weepy,sadness
i feel your pulse against my lips as i chase the dragon suck your lips and is your heart and tongue wish begging for my part and fingers translate your sorrow as you reach inside my soul angered in my breath of mercy the story will no unfold,anger
i feel that i know god is real and that he is loving if i feel that i have air tight reasons for such notions what kind of sense would it make to blame him for the misfortunes that befall us when in fact jesus warns that will have tribulation in the world,love
i cry about feeling shitty i cry because dad made fun of me for being sick haha i kid you not that has happened many times all in good fun i cry because thats what i do in all adverse situations,sadness
i celebrate in a year and how i feel about supporting some of them when the history behind most of our traditional holidays is based on some ugly stuff or at least in a lot of cases a lot stuff that i don t believe in or support,love
i know that s wrong but i feel ugly,sadness
i was left with my integrity and my dignity intact but feeling pissed off,anger
i told you i never wanted you to rot in hell and most of the time i wished i was just less stupid and clumsy so that you will never ever feel unhappy,sadness
i do not however feel the loss of officer nicholsons life was any more tragic than the death of the young mother whose murder started this whole scenario in motion,sadness
i closed my eyes tightly and covered my ears and thank god i woke up before i apologize for the brutality of my nightmare it left me feeling shaken and nauseous to say the least,fear
i let myself fall asleep earlier this afternoon and i m feeling extremely shitty,sadness
i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay im worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low,sadness
i feel inhibited by not having an outlet to deal with my sexual tensions,sadness
i know i have my family and friends and god but some point in your life in my life i want to feel romantic love again,love
i learned in month of us manage to find another company and feel much peaceful without a boss who drunk and yell to his staffs,joy
i didn t for one minute feel intimidated or stupid,fear
i feel so horny just thinking about this,love
i feel so pissed off over an old friend and some friends,anger
im starting to feel like you my faithful reader are my wife or something ie the one i bitch to while everyone else gets to see the better angel of my nature haha,love
i shy away from songs that talk about how i feel toward god or that maybe even talk about my faithful response toward god,love
i dont show my insecurity in my persona if not i might come off as a mad bitch whod practically hated on everyone just because shes feeling insecured and being too overly paranoid,fear
i feel it in every cell of my being god really really loves him intensely and is being faithful in fulfilling all his promises to him to us as he is also doing for you and yours,love
i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,fear
i feel like we owe it to each other to be intelligent about our sexual decisions,joy
i no longer feel like a pathetic sad fat girl who cant eat nachos every day,sadness
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear
i guess since im feeling a bit less shitty have a random picture,sadness
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear
ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost,anger
i had a recent pang of feeling ugly and that i was a failure in some way,sadness
im sorry i have a really bad cold and im feeling bitchy cos i never got to go out drinking myself stupid with my best friends tonight,anger
i feel inside cause life is like a game sometimes then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,sadness
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy
i feel like amazing co screenwriter roberto orcis bizarre adoration of dubya the pampered bush son was responsible for this shit even though it was carried over from the amazing spider man which orci didnt co write,surprise
i want to feel your sweet embrace but dont take that paper bag off your face i love your smile face and eyes damn im good at telling lies,joy
im now feeling a little more resolved to get my shit done too,joy
i would not feel so all alone everybody must get stoned,sadness
i feel like that enables her rotten ass even more but i am at a total,sadness
i feel i had to make as a hateful bastard is too stupid to make any assumed connections that are not themselves hateful,anger
i no longer feel disadvantaged by my ethnicity and the fact that the majority of gay men are racist and dont wanna date asians,sadness
i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed,surprise
i can tell you exactly what is wrong at this very moment this very second i grieve for my son i miss my son i feel as though i am being punished and living in a hell at times,sadness
i watched on thanksgiving this morning i am feeling doubly blessed for what god has given me,love
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear
im tired feeling crappy hungry and still dealing with ridding my house of the smell of vomit,sadness
i feel so shitty right now i just arugh,sadness
im feeling ugly lately,sadness
i felt god telling me this is what makes me feel loved,love
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,anger
i thought id talk today about getting cold feet im sure every bride will know that feeling when hubby to be did something that reeeeeeeeally pissed us off and we start yelling that we just cant do this anymore i cant marry someone like you,anger
i look into the news especially at these unsettling times sometimes i just feel so burdened to pray and cry out to god for the nations,sadness
i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours,joy
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
im not feeling pissed off about picking up those toys,anger
i mane is feeling generous and releases his new lp diary of a trap god for free,joy
i feel like i am i the only one out there who is as angry as i am about suffering such loss about stupid cancer about unfairness about what is even though nothing about it is right,anger
i reached the halfway point of the climb and my arms were feeling good but god dam my right leg was tired,joy
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,sadness
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,sadness
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,joy
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,fear
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,sadness
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,sadness
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,fear
i feel so pissed about myself,anger
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,fear
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day,love
i see what being unhealthy does and i can feel the weight that i ve gained back and i am pissed that i let some of it creep back on,anger
im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me,sadness
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,joy
i hate when i feel stupid because i dont know these things already,sadness
i feel like i should be thrilled and i am but at the same time i feel like crap,joy
i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away,joy
i feel sexually threatened because some guys can be assholes mess you of course im going to be a bitch and do whatever i need to do to get my ass out of the situation,fear
i have the best conversations and the best time together unlike any ive had before but i feel like being totally in love with him does no good when he could care less about some stupid sophomore,joy
im just trusting in my feelings and im trusting god above and im trusting you can give this baby both his mothers love,joy
i feel inspired to get back to my indigo pot,joy
i feel listless and completely unmotivated to do anything but i will bake some almond poppy seed bread and make a pot of chicken noodle soup in an effort to be less than useless today,sadness
i feel really pissed off justanswer,anger
i feel like a bit of a turd that my body instantly rejected the lemonade,sadness
i start to feel ugly unloved poor and unhappy,sadness
i feel to you or dad because dad is pissed about the dishes and will in turn belittle the way i feel to simply me being a spoiled little bitch who doesn t do jack around the house,anger
i mean think about how that would feel that would be stupid embarrassing,sadness
i feel i am beyond pissed off disappointed frustrated with myself,anger
i ain t shot a bitch since this morning so i m feelin a little gun horny,love
i mean i already did of course but i feel more glamourous naked now,joy
i am not feeling shitty about life anymore,sadness
i feel shitty because she quit a job to come here but there is only so much hand holding and training that i am willing to do,sadness
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear,surprise
i really only get inspired to write on this blog when im feeling shitty about life and i guess september being my birth month and all was pretty great,sadness
i do feel like it is fine to have sex but you should be fully aware of what happen due to that action and know about different types of protection there is to prevent pregnancy,joy
i wanted that sacred experience to feel that divine communion with the god of my understanding i wanted to feel sublime love in sacred terms,joy
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited,surprise
im feeling so pissed off that i wanna scream and shout at the wall facing me right now,anger
i want every woman to feel the kind of love from god that sheri shares in her letters from the king and i am positive that she does too,joy
i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed,fear
i feel threatened by anyone i get this feeling that i want to kill someone,fear
i vow to be gasp nicer to everyone not just a select few marybeth and isabella lol i will say what i feel and not cover up something sweet with something shitty,love
i wish i didnt do butttt semuanya sudah terlambat dan i feel so stupid everytime i think about it and i think about it every time means i feel stupid everytime,sadness
i didnt feel so stupid then but a still little bit ignorant compared with the native african healers who have been using this for over a century,sadness
i am feeling a blank space in right testicle area and i think that right testicle size is being decrease through urinate system or the semen s out,sadness
i often play the role of a loquacious hunters always feel superior to others than he who long off than he beautiful really a flower plug in cow dung and marry him though he be like a big grievance,joy
i was admiring and envying the figures of the twentysomething set ahead of me in class and feeling ugly jealous,sadness
i could be really screwed just on waiting for a sitter so i was feeling stressed,anger
i sleep in a dreamy state waking up feeling dazed every now and then yet the cyber slut in me craves to creep up on here every evening,surprise
i feel like im presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger
i feel like hes scared of a good thing and is sabotaging right now and maybe if i give him space hell come back but i feel like hes had so much space and still doesnt feel like its enough,fear
i feel less aggravated and upset today i think i realized that its just not worth it it proved to be wasted time and effort pointless and stupid i am fine with not knowing him im uneffected for the time being at least,anger
i aint pissed angry mad or anything i just feel pretty much messin insulted,anger
i felt humiliated and belittled me because it keyed into all of my trigger points it made me feel stupid and inarticulate and laughable and flattened about something i m passionate about knowledgeable about and see as my place in the world,sadness
i am convinced that being encouraged to be obedient to the commandments of god when done with compassion and love by caring church family members do not leave us feeling abused trapped and hopeless but strengthened hopeful and cherished by both god and his church,sadness
im totally digging and all the band business over the last little while i feel like ive been totally socially and emotionally neglectful of a lot of shit in my world,sadness
i cant help how i feel aside with a few like dick hobbs and rebecca mcpherson im not exactly a popular guy at school,joy
i love the treadmill and i am actually so used to it that i actually feel intimidated running outside,fear
i am feeling so incredibly blessed for the life i have been given and the people that god has put in it,joy
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i know ive talked about this before and i know that eric has talked about how the same thing happened on his mission just how like sometimes you feel like you get super overwhelmed by all the stuff you have to do and its just so easy to be really hard on yourself the mental game if you will,joy
i feel like a guilty sack of shit,sadness
i feel like i love all romantic comedies that sort of have a mixed tone so some of woody allen s work obviously and jim brooks and some of the earl billy wilder films like the apartment,love
i have found if i can make time for quiet reflection or even just pause in the chaos i can feel god s peace and his gentle comfort,love
i really feel stupid,sadness
i feel good having defended the sanctity of the span style webkit text size adjust auto webkit text stroke width px background color white color display inline,joy
i dont have a yeast infection in the vagina i could be feeling irritated by yeast due to my diet so i should stop eating lots of sugary foods if i can,anger
i am plagued by awkward feelings the charming tale of a not so charming gal named me,joy
i admittedly feel like crap and want to sleep all day and am so cranky i just want to yell at everyone,anger
i personally feel that every rapist should be punished rigorously if not hanged,sadness
i feel like all i ever do anymore on the internet is bitch about my kid but seriously im amazed that so many children survive toddlerhood,surprise
i hope that i soon wont feel like a stupid slut,sadness
i think this is the last week of softball and im likely going to suck it up and at least try to play but i feel absolutely rotten going to see what some aggressive hydration does,sadness
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger
i know luh feeling damn awkward can,sadness
i think came from the weird catholic way we d been raised to feel ashamed about sex,sadness
i feel less shitty,sadness
i to feel unloved when hes god and he has the choice to do whatever he wantd,sadness
i love my tango family sometimes especially when i m feeling ugly and awkward and like an outsider i need something from tango that i can t get when i know everyone at the milonga,sadness
i starred into susan s gaping cum filled ring i could feel my own cock hardening in the vain hope of messing this goddess myself but that would have to wait another day,sadness
ive gotten so used to them to the extent that im actually feeling weird without them,surprise
i am now drunk again and feel fab,joy
i decided for the first time in about months to try not wearing my ugly pink and black running shoes and at least feel a little bit cute going out,joy
im feeling pissed and sad right now,anger
i used to feel pretty friendly with started spouting off about how russia is running a muck for no reason that they dont give a shit about their citizens and that they cant be trusted,joy
i was the one who was bearing all the pain and anguish yet why was it that i was the one that continues to feel the hurt while the ass is still gallivanting and showing off,sadness
i was going to say that it makes me feel all unloved and shit but thats just me being overly dramatic,sadness
i did a breathing treatment but as i laid in bed i felt like complete crap and i couldnt sleep so i called in thinking i really need to get steroids and ill feel fine right,joy
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness
i feel like on my ugly days or ugly phases as i call them i m not just unattractive but that i m unattractive in an odd way,sadness
i am feeling naughty with my thebalm nude tude naughty palette a href http,love
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it,anger
i dont have a solid reason for beginning self harm it was a number of things really but i just had these feelings of being worthless that no one would ever like me that i was ugly that i didnt fit in that i was horrible,sadness
i got lots o crazy shit going on but i am loved and feel hopeful about the future,joy
i remember feeling equally dazed and road rollered when the twins came home and that was with the pee and poo all neatly tied up in diapers,surprise
i couldnt help but feel like that smug bastard on tv already called the first number on the ticket and it wasnt even close to what i picked,joy
i go with their flow i always feel shitty so i do what fits me best,sadness
im really just here to write whats on my brain if you want to read it and tell me im crazy stupid boring awesome genius then feel free,joy
i feeling so shitty today then,sadness
i feel anguish for a family that was assaulted raped and systematically assassinated by u,fear
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
i am pretty sure they took the two most horribly sounding words and stuck them together so fat people would feel shamed for being fat,sadness
i necessarily believe in the power of rape whistles but i never got one and i feel grossly unprotected by my campus,fear
i often used the word poggy when we were growing up together when we were feeling particularly ugly or generally not very good those days when all you want to do is stay in bed and hide from the outside world,sadness
i hope i did not make you feel greedy o shit i hope i did not make you feel greedy or whore like sniiiiifff honey i was just trying to make you feel loved and happy,anger
i feel troubled deciding whether to go to this hot pot thing at pm or not,sadness
i am not feeling horny im just letting baba see the emote,love
i feel so ashamed that i cant prove the women suck at knowing things about football stereotype incorrect,sadness
i hate that feeling it makes me feel so ashame and stupid,sadness
i feel like screaming and if she was ugly,sadness
i feel in the tragic case of the woman who was raped though hard may it be the baby should be put up for adoption if the woman cannot bear to keep him her,sadness
i feel amazed how this sh it things happened to me,surprise
ive been feeling completely stupid about this whole thing,sadness
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,sadness
i feel happy i feel elated but i also thank god for bringing me to this stage,joy
im feeling somewhat optimistic that in i wont be that damn coward,joy
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger
i woke up four miles away hungry as hell but somehow feeling oddly satisfied,joy
i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart,anger
i feel glad to have had someone so fine burying their face in my crotch,joy
i feel dumb putting so much thought to such a stupid little thing but its getting to me,sadness
i feel quite content right now s i mean nothing amazing happened just a stupid frenh competition where im sure i did shit and tutor but i dontt know i feel ok,joy
watched a horror movie which involved sexual attacks on women,fear
i head upstream to explore bringing my notebook to write up the events of the day and i soon find running water with some small pools big enough to strip down and throw some water on the ole corpse which feels lovely,love
i look at my life my beautiful family the fact that i feel truly blessed and that all that ive asked from god and the universe all that has happened and beyond how my imagination fathomed it,joy
i am not too sure on how i feel about alec hes either innocent like he says he is or hes a damn good liar,joy
